ADDRESS_DESCRIPTION,CITY,CLEARANCE_DATE,CLEARANCE_DETAIL_STATUS,CLEARANCE_STATUS,CMPD_PATROL_DIVISION,DATE_INCIDENT_BEGAN,DATE_INCIDENT_END,DATE_REPORTED,DIVISION_ID,GlobalID,HIGHEST_NIBRS_CODE,HIGHEST_NIBRS_DESCRIPTION,INCIDENT_REPORT_ID,LATITUDE_PUBLIC,LOCATION,LOCATION_TYPE_DESCRIPTION,LONGITUDE_PUBLIC,NPA,OBJECTID,PLACE_DETAIL_DESCRIPTION,PLACE_TYPE_DESCRIPTION,STATE,X_COORD_PUBLIC,YEAR,Y_COORD_PUBLIC,ZIP,geometry_type,coordinates_lon,coordinates_lat,coordinates_json
Location where officer took report,CHARLOTTE,,Open,Open,South,1644624000000,1648425600000,1648684800000,22,{2A14BCFA-E378-4B02-823C-9D0300B238C9},26C,Impersonation,20220331-0929-01,35.118145,8500 PARK RD,Other,-80.85556,74,11,Office,Commercial Place,NC,1445159,2022,503112,28210,Point,-80.85555971587237,35.11814495123633,
Location of occurrence,CHARLOTTE,1537660800000,Victim Chose not to Prosecute,Exceptionally Cleared,South,1532995200000,1532995200000,1532995200000,22,{34540DD9-A3E8-4DD4-83E8-423E2B715078},899,Other Unlisted Non-Criminal,20180731-2227-01,35.094241,10400 CEDAR CIRCLE DR,Outdoors,-80.857557,302,12,Private Residence,Residential,NC,1444399,2018,494425,,Point,-80.85755723501713,35.094240669497246,
Location of occurrence,CHARLOTTE,1658448000000,Cleared by Arrest,Cleared by Arrest,Steele Creek,1658448000000,,1658448000000,21,{2263E786-E44E-4B53-B0B5-379086CAD38E},23H,All Other Thefts,20220722-1838-01,35.106269,14500 CAROWINDS BV,Outdoors,-80.95457,285,13,Amusement Park,Retail,NC,1415472,2022,499359,28273,Point,-80.9545701120695,35.10626936463237,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1596499200000,1596499200000,1596499200000,14,{109C6B4F-970C-4C5D-9B2A-0A1E984E038A},90Z,All Other Offenses,20200804-2011-01,35.335295,11500 N TRYON ST,Parking Lot,-80.715994,155,14,Other - Open Area,Open Area,NC,1488253,2020,581380,,Point,-80.71599413323675,35.335294585309924,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1631923200000,,1631923200000,14,{C09FE791-508A-4A94-9FB0-D76E2F825E1C},90Z,All Other Offenses,20210918-1840-00,35.334067,3400 DAVID COX RD,Outdoors,-80.790188,275,15,Street/Highway,Open Area,NC,1466121,2021,581324,,Point,-80.79018819099338,35.33406690060586,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1642204800000,1642204800000,1642204800000,16,{492F63E6-1DEC-4675-9BF1-7D551ACBAEFE},13C,Intimidation,20220115-1555-00,35.212899,200 HAWTHORNE LN,Indoors,-80.825598,367,16,Hospital/Medical Facility,Public/Non-Residential,NC,1454751,2022,537425,28204,Point,-80.82559849005894,35.21289900593717,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1592611200000,1592611200000,1592611200000,06,{330E0014-3C30-42AF-915B-18AEA30C7B3A},90Z,All Other Offenses,20200620-1125-00,35.232311,1800 EASTWAY DR,Outdoors,-80.774521,314,17,Street/Highway,Open Area,NC,1470131,2020,544212,28205,Point,-80.77452058528219,35.23231062420747,
Location of occurrence,CHARLOTTE,,Open,Open,North,1760400000000,,1760572800000,11,{87A5C904-F827-4093-8231-C6C0FF17E806},23H,All Other Thefts,20251016-0807-00,35.334393,4600 HACKBERRY GROVE CR,Indoors,-80.803579,278,18,Apartment/Duplex Private Res,Residential,NC,1462130,2025,581515,,Point,-80.80357940153654,35.334393129987475,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1761004800000,1761004800000,1761004800000,14,{53785BCA-DC6B-439C-B02A-7F12D17FA8B9},23F,Theft From Motor Vehicle,20251021-1342-00,35.312263,8700 J W CLAY BV,Parking Lot,-80.75287,66,19,Other - Retail,Retail,NC,1477109,2025,573191,28262,Point,-80.7528697805404,35.312262781724456,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1667260800000,1667260800000,1667260800000,01,{2BA0F243-52BC-4761-8D7C-E782ADED749D},13B,Simple Assault,20221101-0201-02,35.207769,2100 SOUTH BV,Indoors,-80.860343,3,20,Bar/Tavern/Nightclub,Commercial Place,NC,1444340,2022,535751,28203,Point,-80.86034341125391,35.20776914101734,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1483833600000,1483920000000,1483920000000,06,{3CB3AEFE-57C4-4200-A469-F7678EA51384},23F,Theft From Motor Vehicle,20170109-0653-01,35.224262,700 SEIGLE AV,Parking Deck,-80.826175,200,21,Apartment/Duplex Private Res,Residential,NC,1454655,2017,541563,28205,Point,-80.82617468912032,35.22426210063572,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1495497600000,1495497600000,1495497600000,26,{40B854F8-59FE-452B-8D04-52F0C2A0BB5F},13B,Simple Assault,20170523-1146-00,35.149942,6100 CANDLEWOOD DR,Outdoors,-80.869758,383,22,Street/Highway,Open Area,NC,1441132,2017,514762,28210,Point,-80.86975782429526,35.14994248193205,
Location of occurrence,CHARLOTTE,,Open,Open,North,1487808000000,1487808000000,1487808000000,11,{C53F07FF-2BF3-4AEE-A047-CC558F21198C},220,Burglary/B&E,20170223-1956-01,35.294753,5400 PEACHWOOD DR,Indoors,-80.878361,158,23,Private Residence,Residential,NC,1439558,2017,567504,,Point,-80.87836099456871,35.294752646743234,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1688342400000,1688515200000,1688515200000,01,{02384C70-ED83-497A-A0E3-AD4DB4CD6527},23F,Theft From Motor Vehicle,20230705-0818-03,35.233707,500 N GRAHAM ST,Outdoors,-80.842685,476,24,Other - Open Area,Open Area,NC,1449789,2023,545091,28202,Point,-80.84268481089923,35.23370716325966,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1696291200000,1696291200000,1696377600000,02,{D4F32FE2-D53C-441E-A121-19EAECDB6146},23H,All Other Thefts,20231004-1448-02,35.23406,1300 BERRYHILL RD,Outdoors,-80.876047,6,25,Other - Open Area,Open Area,NC,1439831,2023,545406,28208,Point,-80.87604672806748,35.23406007004173,
Location of occurrence,CHARLOTTE,1641340800000,Cleared by Other Means,Exceptionally Cleared,Metro,1641340800000,1641340800000,1641340800000,02,{884B58E3-FF77-46E3-951E-A49748341DEF},35B,Drug Equipment Violations,20220105-0009-00,35.24881,100 W 30TH ST,Outdoors,-80.815814,369,26,Street/Highway,Open Area,NC,1457912,2022,550439,28206,Point,-80.81581416078141,35.248810422937495,
Location where officer took report,CHARLOTTE,1560211200000,Located (Missing Persons and Runaways only),Exceptionally Cleared,North,1559865600000,1559865600000,1559865600000,11,{4DA91AF3-BC3F-46EC-8CC7-FCC79497B1A4},800,Missing Person,20190607-1828-05,35.29079,400 PEACHTREE RD,Indoors,-80.891952,113,27,Private Residence,Residential,NC,1435476,2019,566139,28215,Point,-80.89195162483507,35.29078981825896,
Location of occurrence,CHARLOTTE,1678838400000,Unfounded,Unfounded,University City,1674000000000,1674000000000,1674172800000,14,{A27D96C2-2EC4-4F79-BF14-D58B4DC88958},13B,Simple Assault,20230120-1828-01,35.318526,8500 MALLARD CREEK RD,Indoors,-80.778862,274,28,Day Care,Commercial Place,NC,1469397,2023,575608,,Point,-80.77886213851252,35.31852583293677,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1639958400000,1639958400000,1639958400000,17,{C67F068D-6FB4-45A3-8E5D-8CB9EBAC0928},23D,Theft From Building,20211220-1245-02,35.184307,8100 IDLEWILD RD,Indoors,-80.728376,186,29,Other - Retail,Retail,NC,1483604,2021,526501,28227,Point,-80.72837642484951,35.18430720035991,
Location where officer took report,CHARLOTTE,,Open,Open,North,1753142400000,,1753142400000,11,{9733A090-99F8-48D7-8FDD-1C1C12DF0AC6},26F,Identity Theft,20250722-1800-01,35.292027,800 ALMORA DR,Indoors,-80.902247,113,30,Private Residence,Residential,NC,1432413,2025,566648,,Point,-80.90224717268549,35.2920272869251,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1722902400000,1722988800000,1722988800000,06,{16FE1E1C-6954-41C2-8038-6E601889A58F},23H,All Other Thefts,20240807-1756-00,35.21999,2000 CENTRAL AV,Indoors,-80.806726,378,31,Beauty Salon/Barber Shop,Commercial Place,NC,1460434,2024,539902,28205,Point,-80.80672586171296,35.21998951768925,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1518739200000,1518739200000,1518825600000,21,{FCD51402-E970-4B83-8FB9-A3CCE800C832},899,Other Unlisted Non-Criminal,20180217-1024-00,35.192177,3300 OAK LAKE BV,Indoors,-80.9263,306,32,Other - Commercial Place,Commercial Place,NC,1424532,2018,530453,28208,Point,-80.92629985896257,35.192176603471474,
Location where officer took report,CHARLOTTE,,Open,Open,Freedom,1230768000000,1262217600000,1591574400000,27,{061DD3A5-F4E3-45EB-B362-933D2EB7B343},26F,Identity Theft,20200608-1255-02,35.260432,5900 RUNNING DEER RD,Indoors,-80.94904,333,33,Private Residence,Residential,NC,1418227,2020,555422,28214,Point,-80.9490403686347,35.260431957036296,
Location of occurrence,CHARLOTTE,1553644800000,Cleared by Arrest,Cleared by Arrest,Eastway,1553644800000,1553644800000,1553644800000,06,{CF2800A3-FF88-4ED7-8FDB-28A4D3965083},99Z,Affray,20190327-1259-04,35.242529,1100 EASTWAY DR,Outdoors,-80.779899,10,34,School - Primary or Secondary,Public/Non-Residential,NC,1468592,2019,547959,28205,Point,-80.7798985339097,35.242528772715964,
Location of occurrence,CHARLOTTE,1525996800000,Located (Missing Persons and Runaways only),Exceptionally Cleared,Hickory Grove,1525392000000,,1525392000000,12,{D4C55BA0-798F-474B-9715-31C8D6E20F95},800,Missing Person,20180504-1227-01,35.254424,8600 ROCKMOOR RIDGE RD,Indoors,-80.72762,39,35,Private Residence,Residential,NC,1484274,2018,552012,28215,Point,-80.7276202175271,35.2544244887688,
Location of occurrence,CHARLOTTE,1605398400000,Cleared by Arrest by Another Agency,Cleared by Arrest by Another Agency,North,1596672000000,1596672000000,1596672000000,11,{B27AA7C2-38E7-4050-9D28-0AC35C9B8A0D},120,Robbery,20200806-0017-00,35.306846,4500 SUNSET RD,Indoors,-80.851515,139,36,Convenience Store,Retail,NC,1447649,2020,571754,28216,Point,-80.8515154102286,35.30684565398234,
Location of occurrence,CHARLOTTE,1680912000000,Cleared by Arrest,Cleared by Arrest,Steele Creek,1680912000000,1680912000000,1680912000000,21,{39D18A34-B829-40A7-8533-9CB37F45F8FD},35A,Drug/Narcotic Violations,20230408-0151-04,35.121174,1800 CONTINENTAL BV,Parking Lot,-80.925797,285,37,Other - Public/Non-Residential,Public/Non-Residential,NC,1424181,2023,504614,,Point,-80.92579678283741,35.12117350438058,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1699228800000,1699228800000,1699228800000,02,{C07828E9-BA20-407D-8741-7BF6C640CAB4},290,Damage/Vandalism Of Property,20231106-0401-00,35.269684,3800 STATESVILLE AV,Outdoors,-80.837565,363,38,Gas Station,Retail,NC,1451560,2023,558154,,Point,-80.83756472635811,35.26968384962741,
Location of occurrence,CHARLOTTE,1707264000000,Victim Chose not to Prosecute,Exceptionally Cleared,Metro,1705190400000,1705190400000,1705190400000,02,{AAFBC514-BA9C-4D7B-AEDB-F59BA462174B},13A,Aggravated Assault,20240114-0904-01,35.2331,2400 FREEDOM DR,Outdoors,-80.876256,6,39,Street/Highway,Open Area,NC,1439762,2024,545058,28208,Point,-80.87625573311553,35.23310047018173,
Location where officer took report,CHARLOTTE,1495238400000,Located (Missing Persons and Runaways only),Exceptionally Cleared,Steele Creek,1495152000000,1495238400000,1495238400000,21,{6BE0FF13-6E9D-41CF-A9D3-8C82EB1B3205},800,Missing Person,20170520-0143-00,35.136828,400 CHERRY WOOD LN,Indoors,-80.894672,53,40,Private Residence,Residential,NC,1433595,2017,510131,28217,Point,-80.89467197568352,35.136827521003596,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1733184000000,1733184000000,1733356800000,16,{7DA05803-68CD-41D7-974F-B1200AD7D07F},90Z,All Other Offenses,20241205-1854-03,35.184591,1700 DELANE AV,Indoors,-80.780411,394,41,Other - Residential,Residential,NC,1468061,2024,526879,28211,Point,-80.78041051240454,35.184590940169734,
Location where officer took report,CHARLOTTE,,Open,Open,South,1639353600000,1639353600000,1639353600000,22,{B05B722E-479E-4894-AD5D-29B828441D57},26F,Identity Theft,20211213-1842-01,35.081406,6700 VLOSI DR,Indoors,-80.844143,354,42,Private Residence,Residential,NC,1448324,2021,489680,28226,Point,-80.84414302302446,35.081406065061664,
Location of occurrence,CHARLOTTE,1553126400000,Cleared by Arrest,Cleared by Arrest,University City,1553126400000,1553126400000,1553126400000,14,{0D311438-7D98-4268-96CC-A7CADDE4A81C},35A,Drug/Narcotic Violations,20190321-2216-00,35.287585,7400 N TRYON ST,Outdoors,-80.760104,331,43,Street/Highway,Open Area,NC,1474792,2019,564249,,Point,-80.7601039248549,35.28758463491031,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1670803200000,,1670803200000,07,{1A2CD6ED-3459-4D83-BE0E-57481E28FB44},13A,Aggravated Assault,20221212-0819-01,35.257212,400 HILO DR,Indoors,-80.806051,21,44,Apartment/Duplex Private Res,Residential,NC,1460882,2022,553443,28206,Point,-80.80605089955051,35.25721187250197,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1711411200000,1711411200000,1711411200000,26,{4F400854-AA76-43EC-A6E4-D24F46A40572},13C,Intimidation,20240326-1739-01,35.211574,2900 ROSS AV,Outdoors,-80.897592,120,45,Other - Residential,Residential,NC,1433242,2024,537346,,Point,-80.8975924924913,35.21157375508313,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1547078400000,1547078400000,1547164800000,16,{3BD33017-D324-49E3-A1D2-B1F6167C6E5B},23C,Shoplifting,20190111-0818-01,35.1512,4400 SHARON RD,Indoors,-80.828674,358,46,Other - Retail,Retail,NC,1453419,2019,514991,28211,Point,-80.82867375349484,35.15120046375475,
Location of occurrence,CHARLOTTE,1568937600000,Cleared by Arrest,Cleared by Arrest,Providence,1567296000000,1567296000000,1567296000000,16,{6DB02154-4747-42AF-8CF9-B4607BFC58A0},13B,Simple Assault,20190901-0214-03,35.195576,3100 ST JAMES PL,Outdoors,-80.807935,370,47,Street/Highway,Open Area,NC,1459911,2019,531025,,Point,-80.8079354402765,35.19557626795176,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1641945600000,,1641945600000,07,{3D686BA5-A825-4D4C-9C68-B038054BD008},23C,Shoplifting,20220112-1706-01,35.280771,1300 W SUGAR CREEK RD,Indoors,-80.79354,328,48,Convenience Store,Retail,NC,1464771,2022,561948,28262,Point,-80.79354026698839,35.28077051828265,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1485561600000,,1485561600000,21,{D2F2322F-7056-429B-85A3-85371A8585C5},899,Other Unlisted Non-Criminal,20170128-1413-02,35.083695,14300 PINTAIL LANDING LN,Outdoors,-80.992943,76,49,Private Residence,Residential,NC,1403833,2017,491373,28278,Point,-80.99294271350358,35.08369459672051,
Location where officer took report,CHARLOTTE,1655424000000,Located (Missing Persons and Runaways only),Exceptionally Cleared,Freedom,1655164800000,1655251200000,1655251200000,27,{E2D85AB5-8AD5-4999-B340-5A7FB0349B9F},800,Missing Person,20220615-1017-01,35.264145,200 HOSKINS MILL LN,Indoors,-80.884979,385,50,Private Residence,Residential,NC,1437372,2022,556404,,Point,-80.88497944048326,35.26414542095949,
Location of occurrence,CHARLOTTE,1492041600000,Victim Chose not to Prosecute,Exceptionally Cleared,University City,1489449600000,,1491782400000,14,{645E92F5-2A9C-4D7B-83D8-BD7A470A9DAB},13C,Intimidation,20170410-0940-00,35.316154,1500 W W T HARRIS BV,Indoors,-80.771535,334,51,Office,Commercial Place,NC,1471567,2017,574706,28262,Point,-80.77153473874739,35.31615448665232,
Location of occurrence,CHARLOTTE,1664582400000,"Cleared, Pending Arrest Validation",Open,Independence,1657929600000,1657929600000,1657929600000,17,{3A616687-B5BC-40CA-B8F0-94DBD5254D53},13C,Intimidation,20220716-1230-00,35.137639,1800 GALLERIA BV,Indoors,-80.735232,287,52,Department Store,Retail,NC,1481259,2022,509555,28270,Point,-80.73523221227016,35.13763943177309,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1626566400000,,1626566400000,21,{A500A48A-81AA-475F-A2AA-CFD7AF206480},13A,Aggravated Assault,20210718-0022-00,35.135254,1100 DEEP ROCK CR,Parking Lot,-80.890567,116,53,Apartment/Duplex Private Res,Residential,NC,1434811,2021,509535,,Point,-80.89056737508952,35.13525388441302,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1578787200000,1578787200000,1578787200000,14,{9BCC26A4-2916-4B7C-95E0-2DB80B3253B2},23F,Theft From Motor Vehicle,20200112-1606-00,35.293641,8200 UNIVERSITY CITY BV,Parking Lot,-80.748001,219,54,Department Store,Retail,NC,1478442,2020,566389,,Point,-80.74800066496135,35.29364086202226,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1713744000000,1713830400000,1713830400000,21,{BE706C03-48E9-4FB9-8B9A-16C9A85B1E58},23F,Theft From Motor Vehicle,20240423-1151-02,35.119267,10900 POINT SOUTH DR,Parking Lot,-80.958377,68,55,Apartment/Duplex Private Res,Residential,NC,1414427,2024,504111,28273,Point,-80.95837695462617,35.11926737419255,
Location of occurrence,CHARLOTTE,1656028800000,Cleared by Other Means,Exceptionally Cleared,University City,1654819200000,1654819200000,1654819200000,14,{EC5AEB71-FA2F-4128-8C30-142A31931952},899,Other Unlisted Non-Criminal,20220610-1534-04,35.30235,6100 SPANISH MOSS LN,Indoors,-80.790499,259,56,Private Residence,Residential,NC,1465820,2022,569784,28262,Point,-80.7904994143068,35.302349539485625,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1736121600000,1736121600000,1736121600000,21,{F6D1120F-80EE-403A-B038-F6911E51AEBB},13C,Intimidation,20250106-0024-02,35.149468,7700 ELLA JANE LN,Parking Lot,-80.927944,96,57,Apartment/Duplex Private Res,Residential,NC,1423739,2025,514922,,Point,-80.92794411073022,35.14946794231706,
Location of occurrence,CHARLOTTE,1613001600000,Cleared by Arrest,Cleared by Arrest,Freedom,1545955200000,1545955200000,1600905600000,27,{6E042317-E13B-4C4E-A8A2-7346DFC49471},11A,Forcible Rape,20200924-1740-00,35.258803,4400 TILLMAN RD,Indoors,-80.890793,385,58,Private Residence,Residential,NC,1435600,2020,554493,28208,Point,-80.89079282800532,35.258803016637835,
Location of occurrence,CHARLOTTE,,Open,Open,South,1629417600000,1629417600000,1629417600000,22,{9BA58D7B-2541-4574-928F-97FD8A383025},13B,Simple Assault,20210820-1739-00,35.022078,11600 ARDREY KELL RD,Indoors,-80.846465,257,59,Fitness Center,Commercial Place,NC,1447228,2021,468105,28277,Point,-80.8464645650472,35.022078008491086,
Location of occurrence,CHARLOTTE,,Open,Open,North,1705536000000,1705536000000,1705536000000,11,{A0B33568-795A-41F7-AF25-EF9A684B9692},220,Burglary/B&E,20240118-0045-00,35.342536,9500 LONG CREEK GREEN DR,Indoors,-80.857027,207,60,Apartment/Duplex Private Res,Residential,NC,1446248,2024,584772,28216,Point,-80.85702677379463,35.342536065420894,
Location of occurrence,CHARLOTTE,1604880000000,Victim Chose not to Prosecute,Exceptionally Cleared,South,1600646400000,,1600646400000,22,{CE6D8DBD-39DE-4435-985F-D03475E55083},90Z,All Other Offenses,20200921-1659-01,35.106443,9200 KINGS CANYON DR,Outdoors,-80.860193,74,61,Other - Residential,Residential,NC,1443694,2020,498880,28210,Point,-80.86019280322529,35.106443333170695,
Location of occurrence,CHARLOTTE,1552262400000,Victim Chose not to Prosecute,Exceptionally Cleared,Freedom,1548979200000,1549929600000,1550102400000,27,{6E48D912-6944-40C5-A152-FFE807C462F5},90Z,All Other Offenses,20190214-0719-00,35.280322,200 EAST TODD LN,Other,-80.902986,190,62,Private Residence,Residential,NC,1432111,2019,562393,,Point,-80.90298573040292,35.280322315130256,
Location of occurrence,CHARLOTTE,,Open,Open,North,1750464000000,1750464000000,1750464000000,11,{0B128CFE-B2C0-471C-BAF4-95A31492C1D9},90Z,All Other Offenses,20250621-0114-00,35.288392,5000 CHEVIOT RD,Outdoors,-80.815759,160,63,Street/Highway,Open Area,NC,1458192,2025,564842,28269,Point,-80.81575882252464,35.288392280435076,
Location of occurrence,CHARLOTTE,1484092800000,Cleared by Arrest,Cleared by Arrest,Hickory Grove,1483315200000,,1483315200000,12,{A3A1B88D-8ACE-4044-80B3-20520D9BDBE4},13B,Simple Assault,20170102-0208-00,35.221277,7800 PENCE POND LN,Indoors,-80.708649,323,64,Private Residence,Residential,NC,1489729,2017,539852,28227,Point,-80.7086491938312,35.22127729881651,
Location of occurrence,CHARLOTTE,1554940800000,Unfounded,Unfounded,Hickory Grove,1549497600000,1549497600000,1550361600000,12,{3FAAE8CC-6320-465E-AF22-614D7C789BD1},899,Other Unlisted Non-Criminal,20190217-1333-02,35.23213,4500 SHARON CHASE DR,Outdoors,-80.744584,168,65,Apartment/Duplex Private Res,Residential,NC,1479068,2019,543988,28215,Point,-80.74458378616424,35.232130471562456,
Location of occurrence,CHARLOTTE,1622419200000,Cleared by Arrest,Cleared by Arrest,Freedom,1621296000000,1621382400000,1621382400000,27,{5B798654-1338-4EB6-985A-EC04EEFAC98E},23F,Theft From Motor Vehicle,20210519-0242-00,35.255924,1800 WEST POINTE DR,Parking Lot,-80.973826,73,66,Factory/Warehouse,Commercial Place,NC,1410797,2021,553928,28214,Point,-80.97382613033594,35.255924415780854,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1669852800000,1683158400000,1683158400000,14,{4B25A788-DDB9-4A3E-BAE1-907684FA13BB},11B,Forcible Sodomy,20230504-1425-01,35.347001,13600 PORTER CREEK RD,Indoors,-80.726659,336,67,Private Residence,Residential,NC,1485147,2023,585695,,Point,-80.72665874671365,35.347000785067614,
Location of occurrence,CHARLOTTE,1610582400000,Victim Chose not to Prosecute,Exceptionally Cleared,Freedom,1605225600000,1605225600000,1605225600000,27,{9DF666A2-DDD4-4920-AFA0-017CFFA30A79},290,Damage/Vandalism Of Property,20201113-1503-01,35.224494,3400 WILKINSON BV,Parking Lot,-80.897883,387,68,Car Wash,Commercial Place,NC,1433245,2020,542049,28208,Point,-80.89788345862922,35.22449385740724,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1554940800000,1555286400000,1555286400000,06,{2AA4686A-9B18-4047-8E40-D934B1964754},23G,Theft of Motor Vehicle Parts from Vehicle,20190415-0903-00,35.248601,3300 N DAVIDSON ST,Parking Lot,-80.803009,343,69,Apartment/Duplex Private Res,Residential,NC,1461733,2019,550293,28205,Point,-80.80300902754216,35.248600683881776,
Location of occurrence,CHARLOTTE,1536883200000,Victim Chose not to Prosecute,Exceptionally Cleared,North Tryon,1536192000000,,1536192000000,07,{478857D6-A8B5-4828-9CEE-0AD868E763FD},13B,Simple Assault,20180906-2006-01,35.244452,4600 PERTH CT,Indoors,-80.752281,249,70,Private Residence,Residential,NC,1476849,2018,548512,,Point,-80.7522810093878,35.24445159409458,
